time;survival
0;1
0,062566105;0,997892013
0,169576731;0,993748617
0,267096387;0,976016448
0,320318277;0,967057574
0,418328377;0,961243215
0,525260138;0,955183387
0,631994735;0,94433248
0,738640608;0,931325587
0,836236665;0,915449962
0,898254522;0,903191306
1,00514685;0,896173262
1,07459919;0,878536683
1,178044673;0,865275238
1,235542552;0,851701992
1,342523603;0,846839934
1,395550794;0,833149869
1,502502271;0,827569149
1,609158002;0,81480181
1,679858459;0,796488502
1,749372412;0,780349135
1,85746603;0,77151648
1,946189718;0,757084094
2,052963748;0,747191402
2,130123782;0,730815967
2,192990852;0,708187202
2,276961486;0,691944148
2,362816441;0,680148826
2,467003401;0,669402275
2,52241064;0,651535437
2,584300341;0,636162579
2,691212385;0,629623643
2,778244408;0,617492158
2,833120995;0,605334055
2,939914741;0,595920472
3,010588088;0,57694839
3,086920034;0,565255199
3,1883805;0,556468005
3,295065806;0,544419328
3,352373915;0,526234669
3,445570756;0,51197899
3,508678648;0,495202186
3,576987438;0,480783319
3,685124714;0,473011547
3,782735558;0,457495252
3,898455892;0,447955977
3,984034819;0,429453145
4,093825453;0,420516698
4,200727639;0,413738208
4,307600251;0,406241056
4,414196833;0,392036394
4,521030011;0,383581027
4,623876257;0,371261109
4,72968348;0,353378004
4,834202097;0,335187747
4,858199742;0,329217065
4,965289234;0,326990101
5,07208298;0,317576517
5,185463403;0,313189342
5,279485163;0,303476211
5,392740247;0,296043278
5,50354205;0,291007575
5,583952117;0,276093018
5,695504903;0,273803207
5,793332627;0,2635571
5,909181118;0,257132026
6,009596617;0,24775689
6,122906625;0,241658615
6,230025691;0,240150312
6,336937735;0,233611377
6,442348518;0,221597767
6,505828204;0,213855569
6,605110011;0,207937699
6,710710916;0,200544058
6,817869415;0,199993971
6,924860325;0,195371467
7,0319301;0,192665395
7,139108315;0,192594416
7,246227381;0,191086113
7,353169;0,185265839
7,460288066;0,183757536
7,531222654;0,171133634
7,638090337;0,163516706
7,753919112;0,156612524
7,85199329;0,152355266
7,959151789;0,151805179
8,066330004;0,1517342
8,179794927;0,149400344
8,271318692;0,140997894
8,387391457;0,140022673
8,494569672;0,139951694
8,605999231;0,134667459
8,699329157;0,123645759
8,79091524;0,116757632
8,868229484;0,104129505
8,975333763;0,102261871
9,082511978;0,102190892
9,189690194;0,102119913
9,296868409;0,102048934
9,394996808;0,099109223
9,421121005;0,082801809
9,528259787;0,081772614
9,635438002;0,081701635
9,742616218;0,081630656
9,849794433;0,081559677
9,9480293;0,081207149
